"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2001",1950.295,"B"
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2002",2102.183,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2003",2199.473,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2004",2276.694,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2005",2298.635,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2006",2498.435,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2007",2681.328,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2008",2848.093,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2009",2906.416,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",2892.7,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",3923.417,"B"
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",4088.934,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",4227.657,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",4321.193,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",4393.487,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4465.547,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4606.429,"P"
