entity,year,percent_gdp,gdp,education_spend
Netherlands,2007,4.93376016616821,51543.77,2543.04599240136
Netherlands,2008,5.09226989746094,52230.95,2659.740944007875
Netherlands,2009,5.49579000473022,50018.18,2748.89413698797
Netherlands,2010,5.5557999610900906,50464.46,2803.704449044324
Netherlands,2011,5.5261697769165,51057.88,2821.5451332942944
Netherlands,2012,5.4756498336792,50285.98,2753.484180233956
Netherlands,2013,5.59187984466553,49968.04,2794.15275753441
Netherlands,2014,5.52931022644043,50460.3,2790.1065281925203
New Zealand,1980,4.232470035552979,22089.32,934.9238500574113
New Zealand,1981,4.44054985046387,23006.46,1021.61332512703
New Zealand,1982,4.5327000617981,22993.43,1042.223215819503
New Zealand,1984,4.04578018188477,24323.09,984.0587548419962
New Zealand,1985,3.54623007774353,24524.56,869.6973231542586
New Zealand,1986,3.4302499294281,25061.31,859.6655685887574
New Zealand,1987,3.9172699451446498,23896.05,936.0727847267381
New Zealand,1988,4.42592000961304,24310.98,1075.9845283530242
New Zealand,1989,4.81824016571045,24321.4,1171.8634636631014
New Zealand,1994,5.92598009109497,25739.17,1525.298089813089
New Zealand,1995,5.74212980270386,26504.34,1521.9136061499603
New Zealand,1996,6.38371992111206,26988.05,1722.841524169683
New Zealand,1997,6.15727996826172,27492.05,1692.7624875144961
New Zealand,1999,6.6362099647522,28878.03,1916.4067044841297
New Zealand,2001,6.56049013137817,30228.58,1983.1430077557554
New Zealand,2002,6.40699005126953,31264.84,2003.1351883453367
New Zealand,2003,6.43747997283936,32174.1,2071.2012439413083
New Zealand,2004,6.512030124664309,32829.13,2137.842835265208
New Zealand,2005,6.2789201736450195,33583.06,2108.6535292673107
New Zealand,2006,5.95279979705811,34095.58,2029.6416170457856
New Zealand,2007,5.916039943695071,35014.91,2071.49606184888
New Zealand,2008,5.50641012191772,34134.1,1879.5635374255164
New Zealand,2009,6.281169891357419,34458.22,2164.379339737701
New Zealand,2010,7.00248003005981,34471.84,2413.883711994169
New Zealand,2011,6.93668985366821,35087.0,2433.876368956565
New Zealand,2012,7.1526799201965305,35651.55,2550.0412580888265
New Zealand,2013,6.70207977294922,36061.3,2416.8570931625372
New Zealand,2014,6.35525989532471,37027.49,2353.1932222153673
New Zealand,2015,6.344510078430179,38351.59,2433.220492788221
Norway,1980,5.78014993667603,48538.25,2805.583626638653
Norway,1981,5.54364013671875,49144.63,2724.401433721924
Norway,1982,5.6788501739502,49079.69,2787.162060939219
Norway,1983,5.64629983901978,50860.86,2871.756656304076
Norway,1984,5.429369926452639,53787.23,2920.307689891912
Norway,1985,5.255670070648191,56605.71,2975.00935874791
Norway,1986,5.53983020782471,58693.5,3251.5202430295963
Norway,1987,5.78807020187378,59443.7,3440.6430865912444
Norway,1988,5.86597013473511,58973.77,3459.3837355273736
Norway,1989,6.299860000610349,59340.58,3738.373463550185
Norway,1990,6.31037998199463,60261.09,3802.7037602917676
Norway,1991,6.37321996688843,61832.4,3940.714862806322
Norway,1992,6.6361398696899405,63674.64,4225.538171921539
Norway,1993,7.67664003372192,65097.48,4997.29921062412
Norway,1994,7.83043003082275,67999.34,5324.640740121266
Norway,1995,7.69578981399536,70459.05,5422.380392937897
Norway,1996,7.138150215148929,73627.16,5255.617279948046
Norway,1997,7.303540229797361,77088.89,5630.218093854234
Norway,1998,7.360690116882321,78629.3,5787.659114073751
Norway,1999,6.9664201736450195,79661.38,5549.546446924019
Norway,2000,6.46468019485474,81683.6,5280.583511644367
Norway,2001,6.82941007614136,82965.99,5666.087680830434
Norway,2002,7.44131994247437,83706.33,6228.855827403406
Norway,2003,7.4197998046875,83982.32,6231.320015332032
Norway,2004,7.3025197982788095,86791.94,6337.998601810265
Norway,2005,6.868680000305179,88464.06,6076.313196677974
Norway,2006,6.38566017150879,89854.46,5737.800464544297
Norway,2007,6.53203010559082,91582.3,5982.183407392502
Norway,2008,6.281079769134519,90881.63,5708.347675789688
Norway,2009,7.095439910888669,88224.67,6259.9284464298225
Norway,2010,6.74045991897583,87733.52,5913.642751106644
Norway,2011,6.44743013381958,87440.81,5637.685133195924
Norway,2012,7.36425018310547,88644.75,6528.021164188386
Norway,2013,7.4747600555419895,88434.95,6610.30031773853
Norway,2014,7.680739879608151,89091.83,6842.911716282699
Portugal,1980,3.06713008880615,12372.33,379.47545611639
Portugal,1981,3.1854400634765603,12480.27,397.5515206100461
Portugal,1982,3.32876992225647,12734.4,423.8988769798279
Portugal,1983,3.23249006271362,12696.14,410.40146384820895
Portugal,1984,3.14223003387451,12440.89,390.9213820612905
Portugal,1985,3.2621700763702406,12774.91,416.7392913032295
Portugal,1986,3.0489499568939196,13290.19,405.21124227612
Portugal,1987,3.1576700210571302,14127.05,446.08562270975125
Portugal,1988,3.38719010353088,15176.9,514.0704548227781
Portugal,1989,3.47490000724792,16150.26,561.2053859105579
Portugal,1990,3.56937003135681,16789.05,599.2633192495106
